english	中文	首次出現章節	備註
enablement narrative	賦能敘事	Title	種子術語（已核定）
enablement narrative backfire	賦能敘事反噬	Abstract	種子術語（已核定）
AI-as-substitute frame	「AI 即替代」框架	§1.2	種子術語（已核定）
AI-interactive role sensemaking loop	AI 互動式角色意義建構迴圈	Abstract	種子術語（已核定）
sensemaking	意義建構	Title	種子術語（已核定）
sensegiving	意義賦予	§1.3	種子術語（已核定）
technological frames	科技框架	§1.3	種子術語（已核定）
frame incongruence	框架不一致	§1.3	種子術語（已核定）
role threat appraisal	角色威脅評估	Abstract	種子術語（已核定）
role opportunity appraisal	角色機會評估	Abstract	種子術語（已核定）
modes of adoption response	採用回應模式	Title	種子術語（已核定）
avoidance	迴避	Abstract	種子術語（已核定）
compliance-only use	純遵從性使用	Abstract	種子術語（已核定）
defensive adoption	防衛性採用	Abstract	種子術語（已核定）
genuine integration	真正整合	Abstract	種子術語（已核定）
cognitive appraisal theory	認知評估理論	§1.2	種子術語（已核定）
primary appraisal / secondary appraisal	初級評估／次級評估	§1.2	種子術語（已核定）
challenge appraisal	挑戰性評估	§2.4.1	種子術語（已核定）
coping resources	因應資源	§1.2	種子術語（已核定）
protection motivation theory	保護動機理論	§2	種子術語（已核定）
response efficacy / self-efficacy	反應效能／自我效能	§2.4.1	種子術語（已核定）
implicature	語用蘊含	§2	種子術語（已核定）
Gricean pragmatics	葛萊斯語用學	§2	種子術語（已核定）
innuendo effect	暗示效應	§2.3.1	種子術語（已核定）
strategic ambiguity	策略性模糊	Abstract	種子術語（已核定）
euphemistic substitution	委婉替換	§2.3.3	種子術語（已核定）
efficiency vocabulary / discourse	效率語彙／效率論述	Abstract	種子術語（已核定）
word–deed inconsistency	言行不一致	§1.2	種子術語（已核定）
behavioral integrity	行為誠信	§2	種子術語（已核定）
psychological contract	心理契約	§2	種子術語（已核定）
change cynicism	變革犬儒主義	§2.3.3	種子術語（已核定）
job insecurity	工作不安全感	§1.3	種子術語（已核定）
STARA awareness	STARA 覺察	§1.3	種子術語（已核定）
AI identity threat	AI 身分威脅	§1.3	種子術語（已核定）
employment security	僱用安全	§1.2	種子術語（已核定）
market value of expertise	專業能力的市場價值	§1.2	種子術語（已核定）
role autonomy	角色自主性	§1.2	種子術語（已核定）
occupational identity and status	職業身分與地位	§1.1	種子術語（已核定）
role augmentation / elevation / reinvention	角色增益／角色提升／角色再造	§1.2	種子術語（已核定）
cue	線索	Abstract	種子術語（已核定）
self-referential cues	自指涉線索	§1.2	種子術語（已核定）
demonstrative cues	展示性線索	§2.5.4	種子術語（已核定）
socially transmitted cues	社會傳遞線索	§2.5.6	種子術語（已核定）
cue-generating artifact	線索生成物	§2.5	種子術語（已核定）
enacted sensemaking	實作式意義建構	§2.5.1	種子術語（已核定）
task-role overlap	任務—角色重疊度	Abstract	種子術語（已核定）
cue credibility	線索可信度	§1.4	種子術語（已核定）
machine heuristic	機器捷思	§2	種子術語（已核定）
MAIN model	MAIN 模型	§2.5.4	種子術語（已核定）
computers-are-social-actors (CASA)	電腦即社會行動者	§2	種子術語（已核定）
automation–augmentation paradox	自動化—增益弔詭	§2	種子術語（已核定）
job crafting	工作形塑	§2	種子術語（已核定）
participatory implementation	參與式導入	§2.4.2	種子術語（已核定）
credible role-redesign commitment	可信的角色再設計承諾	§2.4.2	種子術語（已核定）
augmentation-configured demonstration	增益導向的示範配置	§2.4.2	種子術語（已核定）
entrenchment / oscillation / reversal	固化／擺盪／逆轉	Abstract	種子術語（已核定）
reappraisal	再評估	§1.2	種子術語（已核定）
mechanism / construct / proposition	機制／構念／命題	Abstract	種子術語（已核定）
contextual antecedent	脈絡前因	§1.5	種子術語（已核定）
boundary condition	邊界條件	§1.5	種子術語（已核定）
discriminant validity	區辨效度	§5.3	種子術語（已核定）
latent transition analysis	潛在轉移分析	§5.3	種子術語（已核定）
experience sampling	經驗取樣	§5.3	種子術語（已核定）
generative AI implementation	生成式 AI 導入	Title	待確認
technology acceptance model (TAM)	科技接受模式	§2.1	待確認
unified theory of acceptance and use of technology (UTAUT)	整合性科技接受與使用理論	§2.1	待確認
perceived usefulness	知覺有用性	§1.3	待確認
perceived ease of use	知覺易用性	§1.3	待確認
performance expectancy / effort expectancy / social influence / facilitating conditions	績效期望／努力期望／社會影響／促成條件	§2.1	待確認；UTAUT 四構面
adoption intention	採用意圖	Abstract	待確認
marked reassurance / pragmatically marked	標記化的再保證／語用標記	§1.2	待確認
cooperative principle; maxims of relation and quantity	合作原則；關聯準則與量的準則	§2.3.1	待確認；Grice
interpretive gap	詮釋落差	§1.1	待確認
interpretive burden	詮釋負擔	§2.3.2	待確認
interpretive prior(s)	詮釋先驗	§2.3.4	待確認
substitution-oriented frame / prior	替代導向框架／替代性先驗	§1.1	待確認；網站規格用「替代性先驗」
substitution signal	替代訊號	§1.4	待確認
role substitution	角色替代	Abstract	待確認
professional devaluation	專業貶值	§1.2	待確認
displacement	取代（displacement）	§1.2	待確認；與 substitution（替代）區分
organizational trust	組織信任	§1.4	待確認
ability / benevolence / integrity	能力／善意／正直	§2.3.4	待確認；Mayer et al. 信任三構面
perceived role vulnerability	知覺角色脆弱性	§3.2	待確認
secondary appraisal resources	次級評估資源	§1.4	待確認
AI-generated cue credibility	AI 生成線索可信度	§2.5.4	待確認
